,Trading_Volume,Volume_weighted_avg,Open_Price,Close_Price,Highest_Price,Lowest_Price,Timestamp_Unix_Msec,Number_Transactions,ticker
231,171695,1.0832,1.08419,1.0796,1.08818,1.07696,2023-09-01,171695,eurusd
232,1,1.0796,1.0796,1.0796,1.0796,1.0796,2023-09-03,1,eurusd
233,94596,1.0794,1.0778,1.07909,1.0809,1.0773,2023-09-04,94596,eurusd
234,176156,1.0746,1.0791,1.0723,1.07983,1.0705,2023-09-05,176156,eurusd
235,154924,1.0726,1.07248,1.07236,1.0749,1.07018,2023-09-06,154924,eurusd
236,144798,1.0706,1.07239,1.0695,1.0732,1.0685,2023-09-07,144798,eurusd
237,154246,1.071,1.06975,1.0712,1.0744,1.0692,2023-09-08,154246,eurusd
238,1,1.0712,1.0712,1.0712,1.0712,1.0712,2023-09-09,1,eurusd
239,4631,1.0712,1.07107,1.0716,1.0722,1.07065,2023-09-10,4631,eurusd
240,166078,1.0734,1.07162,1.07475,1.07594,1.0708,2023-09-11,166078,eurusd
241,164181,1.0728,1.07472,1.07529,1.07687,1.0704,2023-09-12,164181,eurusd
242,188768,1.0741,1.07532,1.07328,1.0765,1.07109,2023-09-13,188768,eurusd
243,187083,1.0695,1.07328,1.06348,1.0754,1.0628,2023-09-14,187083,eurusd
244,173473,1.066,1.06354,1.0672,1.0688,1.0632,2023-09-15,173473,eurusd
245,2638,1.0665,1.06548,1.06677,1.0669,1.06542,2023-09-17,2638,eurusd
246,165566,1.0673,1.06677,1.0691,1.0699,1.0653,2023-09-18,165566,eurusd
247,159054,1.0688,1.06919,1.06813,1.0718,1.06738,2023-09-19,159054,eurusd
248,186567,1.0694,1.06814,1.06499,1.0737,1.0646,2023-09-20,186567,eurusd
249,200176,1.065,1.06496,1.06601,1.06735,1.06165,2023-09-21,200176,eurusd
250,175051,1.065,1.06602,1.0671,1.0672,1.0614,2023-09-22,175051,eurusd
251,3695,1.0649,1.06398,1.06478,1.0652,1.06398,2023-09-24,3695,eurusd
252,163400,1.0619,1.0648,1.0591,1.06555,1.0574,2023-09-25,163400,eurusd
253,175701,1.0585,1.05913,1.05691,1.0609,1.056,2023-09-26,175701,eurusd
254,206483,1.0535,1.05687,1.05053,1.0574,1.0487,2023-09-27,206483,eurusd
255,211174,1.0536,1.05053,1.05621,1.0579,1.049,2023-09-28,211174,eurusd
256,199121,1.0586,1.0562,1.0585,1.06171,1.0556,2023-09-29,199121,eurusd
257,4100,1.0562,1.05664,1.05639,1.05741,1.0557,2023-10-01,4100,eurusd
258,177930,1.0525,1.05639,1.04797,1.0592,1.0474,2023-10-02,177930,eurusd
259,212216,1.0471,1.04798,1.0468,1.0494,1.0447,2023-10-03,212216,eurusd
260,206080,1.0495,1.04685,1.05066,1.05321,1.045,2023-10-04,206080,eurusd
261,200340,1.0523,1.05063,1.0545,1.0553,1.0499,2023-10-05,200340,eurusd
262,207353,1.0551,1.05461,1.06,1.0601,1.0482,2023-10-06,207353,eurusd
263,7029,1.0558,1.05624,1.05659,1.0569,1.05488,2023-10-08,7029,eurusd
264,208480,1.0548,1.05662,1.05783,1.0581,1.0518,2023-10-09,208480,eurusd
265,227187,1.0588,1.05783,1.0604,1.062,1.0553,2023-10-10,227187,eurusd
266,201138,1.0609,1.06043,1.0623,1.06347,1.05773,2023-10-11,201138,eurusd
267,200442,1.0584,1.06228,1.05355,1.06397,1.0522,2023-10-12,200442,eurusd
268,205064,1.0527,1.05356,1.0511,1.05586,1.0494,2023-10-13,205064,eurusd
269,4735,1.0519,1.05112,1.05217,1.05251,1.05015,2023-10-15,4735,eurusd
270,189181,1.0537,1.05219,1.05543,1.0564,1.0514,2023-10-16,189181,eurusd
271,200537,1.0561,1.05541,1.05728,1.0595,1.0531,2023-10-17,200537,eurusd
272,197504,1.0558,1.05729,1.05377,1.05941,1.0522,2023-10-18,197504,eurusd
273,204105,1.0563,1.05378,1.05862,1.0616,1.0527,2023-10-19,204105,eurusd
274,173615,1.0584,1.0586,1.0603,1.06037,1.0564,2023-10-20,173615,eurusd
275,2235,1.059,1.05918,1.0588,1.0594,1.0587,2023-10-22,2235,eurusd
276,171392,1.0617,1.05891,1.0668,1.06779,1.057,2023-10-23,171392,eurusd
277,179904,1.0631,1.06699,1.05949,1.0695,1.0582,2023-10-24,179904,eurusd
278,178204,1.0581,1.05947,1.05662,1.0608,1.0558,2023-10-25,178204,eurusd
279,189432,1.0546,1.0566,1.05636,1.05691,1.05185,2023-10-26,189432,eurusd
280,164457,1.0566,1.05635,1.0578,1.0597,1.0534,2023-10-27,164457,eurusd
281,2748,1.0562,1.05598,1.05616,1.05757,1.05585,2023-10-29,2748,eurusd
282,155863,1.0589,1.05616,1.06135,1.0625,1.0546,2023-10-30,155863,eurusd
283,184667,1.0606,1.06137,1.05777,1.06742,1.0556,2023-10-31,184667,eurusd
284,188439,1.0553,1.05778,1.05866,1.05868,1.05166,2023-11-01,188439,eurusd
285,173582,1.0621,1.05865,1.06151,1.06676,1.0583,2023-11-02,173582,eurusd
286,162326,1.0683,1.06152,1.0735,1.07467,1.0613,2023-11-03,162326,eurusd
287,1796,1.0727,1.07205,1.07311,1.07331,1.07205,2023-11-05,1796,eurusd
288,153910,1.0737,1.07311,1.0717,1.07567,1.07138,2023-11-06,153910,eurusd
289,172347,1.0691,1.07183,1.06957,1.072,1.0663,2023-11-07,172347,eurusd
290,153039,1.0689,1.06958,1.0711,1.0716,1.0658,2023-11-08,153039,eurusd
291,160915,1.0696,1.07112,1.06667,1.07253,1.0659,2023-11-09,160915,eurusd
292,144796,1.0675,1.06669,1.0714,1.0714,1.0655,2023-11-10,144796,eurusd
293,1665,1.0686,1.06833,1.06903,1.06903,1.06806,2023-11-12,1665,eurusd
294,128532,1.0688,1.06899,1.0701,1.07062,1.0664,2023-11-13,128532,eurusd
295,155566,1.0784,1.0701,1.0876,1.08874,1.0691,2023-11-14,155566,eurusd
296,158792,1.0859,1.08777,1.08542,1.08858,1.083,2023-11-15,158792,eurusd
297,151818,1.0855,1.08543,1.08531,1.08955,1.0811,2023-11-16,151818,eurusd
298,150098,1.0868,1.08526,1.0916,1.0918,1.0823,2023-11-17,150098,eurusd
299,1654,1.0908,1.09094,1.09053,1.09129,1.09043,2023-11-19,1654,eurusd
