,Trading_Volume,Volume_weighted_avg,Open_Price,Close_Price,Highest_Price,Lowest_Price,Timestamp_Unix_Msec,Number_Transactions,shares,ticker
144,46474,2.9555,3.1151,3.0,3.1151,2.93,2023-08-01 04:00:00,196,10101,luxh
145,41354,2.9503,3.04,2.97,3.04,2.89,2023-08-02 04:00:00,343,10101,luxh
146,86726,2.9711,3.0,3.02,3.0724,2.82,2023-08-03 04:00:00,483,10101,luxh
147,99943,3.0194,3.05,3.05,3.0975,2.96,2023-08-04 04:00:00,657,10101,luxh
148,115753,2.9768,3.1,3.0,3.1,2.8501,2023-08-07 04:00:00,524,10101,luxh
149,233065,2.9103,3.07,3.0,3.08,2.73,2023-08-08 04:00:00,1297,10101,luxh
150,190675,2.9698,3.145,3.03,3.15,2.73,2023-08-09 04:00:00,518,10101,luxh
151,60420,2.9677,3.04,2.96,3.0463,2.901,2023-08-10 04:00:00,306,10101,luxh
152,47794,2.9435,2.995,3.02,3.04,2.9,2023-08-11 04:00:00,269,10101,luxh
153,47665,2.9194,3.04,2.95,3.04,2.86,2023-08-14 04:00:00,319,10101,luxh
154,47532,2.9139,2.9011,2.9,2.9888,2.81,2023-08-15 04:00:00,242,10101,luxh
155,38045,2.8883,2.87,2.85,2.9499,2.83,2023-08-16 04:00:00,217,10101,luxh
156,44009,2.9445,2.9,2.96,2.9751,2.876,2023-08-17 04:00:00,203,10101,luxh
157,101328,2.9781,2.9374,3.11,3.11,2.89,2023-08-18 04:00:00,553,10101,luxh
158,21987,3.0103,3.07,2.965,3.07,2.96,2023-08-21 04:00:00,194,10101,luxh
159,110125,2.825,2.95,2.8,3.0063,2.76,2023-08-22 04:00:00,219,10101,luxh
160,35704,2.8074,2.86,2.77,2.93,2.77,2023-08-23 04:00:00,221,10101,luxh
161,47235,2.7997,2.78,2.87,2.87,2.755,2023-08-24 04:00:00,228,10101,luxh
162,27060,2.8841,2.8699,2.95,2.95,2.8,2023-08-25 04:00:00,159,10101,luxh
163,32255,2.8943,2.9877,2.875,2.9877,2.85,2023-08-28 04:00:00,132,10101,luxh
164,18939,2.886,2.87,2.925,2.9499,2.85,2023-08-29 04:00:00,126,10101,luxh
165,7943,2.8789,2.8371,2.89,2.9381,2.8371,2023-08-30 04:00:00,112,10101,luxh
166,35522,2.9396,2.94,2.89,2.9899,2.89,2023-08-31 04:00:00,186,10101,luxh
167,96765,3.0611,2.86,3.07,3.14,2.86,2023-09-01 04:00:00,405,10101,luxh
168,19836,3.0448,3.12,3.045,3.12,2.93,2023-09-05 04:00:00,152,10101,luxh
169,164219,3.2311,3.065,3.34,3.4,3.065,2023-09-06 04:00:00,739,10101,luxh
170,56837,3.3665,3.28,3.38,3.44,3.28,2023-09-07 04:00:00,354,10101,luxh
171,54522,3.4152,3.44,3.44,3.45,3.38,2023-09-08 04:00:00,316,10101,luxh
172,112409,3.5586,3.41,3.65,3.75,3.37,2023-09-11 04:00:00,576,10101,luxh
